H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,643,Russian Federation,RUS,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,36,,,,36,,300,,,0
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,1810000,,,,1810000,,469891,,,0
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,156,China,CHN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,36000,,,,36000,,5472,,,0
H5,2017,2017,2017,4,0,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,1774000,,,,1774000,,464419,,,0
H5,2017,2017,2017,4,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,200,,,,200,,176,,,0
H5,2017,2017,2017,4,0,2,Export,144,Sri Lanka,LKA,462,Maldives,MDV,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,200,,,,200,,176,,,0
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,51800,,,,51800,,26698,,,0
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,156,China,CHN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,23500,,,,23500,,18860,,,0
H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,188,Costa Rica,CRI,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,24000,,,,24000,,3796,,,0
"H5,2017,2017,2017,4,0,2,Export,152,Chile,CHL,344,""China, Hong Kong SAR"",HKG,,,,,,,,2510,Natural calcium phosphates"; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,4300,,,,4300,,4042,,,0
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,487123650,,,,487123650,,45245781,,,0
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,17750000,,,,17750000,,1716500,,,0
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,71152200,,,,71152200,,7115215,,,0
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,323087000,,,,323087000,,28990882,,,0
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,554,New Zealand,NZL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,73039400,,,,73039400,,7068965,,,0
H5,2017,2017,2017,4,0,2,Export,156,China,CHN,608,Philippines,PHL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,2095050,,,,2095050,,354219,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,1,No Quantity,0,,,,,,136819,,,6
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,76,Brazil,BRA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,1,No Quantity,0,,,,,,45,,,6
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,188,Costa Rica,CRI,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,310000,,,,310000,,51338,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,320,Guatemala,GTM,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,570000,,,,570000,,83667,,,0
H5,2017,2017,2017,4,0,2,Export,170,Colombia,COL,591,Panama,PAN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,5200,,,,5200,,1769,,,0
H5,2017,2017,2017,4,0,2,Export,188,Costa Rica,CRI,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,13629,,,,13629,,33668,,,0
H5,2017,2017,2017,4,0,2,Export,188,Costa Rica,CRI,320,Guatemala,GTM,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,10124,,,,10124,,22104,,,0
H5,2017,2017,2017,4,0,2,Export,188,Costa Rica,CRI,340,Honduras,HND,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,3505,,,,3505,,11564,,,0
H5,2017,2017,2017,4,0,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,4424,,,,,,481,,,6
H5,2017,2017,2017,4,0,2,Export,191,Croatia,HRV,688,Serbia,SRB,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,4377,,,,,,475,,,6
H5,2017,2017,2017,4,0,2,Export,191,Croatia,HRV,807,North Macedonia,MKD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,46,,,,,,6,,,6
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,38142,,,,,,3435,,,6
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,616,Poland,POL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,35200,,,,35200,,3158,,,0
H5,2017,2017,2017,4,0,2,Export,203,Czechia,CZE,703,Slovakia,SVK,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,2942,,,,,,277,,,6
H5,2017,2017,2017,4,0,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,215656,,,,215656,,188589,,,0
